Question,Answer
die Zahlung,payment
zählen,to count
der Zahn,tooth
die Zahnpasta / die Zahncreme,toothpaste
das Zeichen,sign
das Verkehrszeichen,street sign
zeichnen,to draw
zeigen,to show
die Zeit,time
die Zeitarbeit,temporary work
der Zeitpunkt,point in time
zurzeit,at the moment
die Zeitschrift,magazine
die Zeitung,newspaper
das Zelt,tent
zentral,central
das Zentrum,centre
zerstören,to destroy
das Zertifikat,certificate
der Zettel,note
das Zeug (Sg.) / -zeug,"stuff, gear"
der Zeuge,witness
das Zeugnis,"certificate, report, reference"
ziehen,"to pull, move"
das Ziel,"goal, aim"
ziemlich,"fairly, rather"
die Zigarette,cigarette
das Zimmer,room
die Zinsen (Pl.),interest
zirka/circa,"circa, approximately"
die Zitrone,lemon
der Zoll,customs
die Zone,zone
der Zoo,zoo
zu-,"to, on, by, too, for"
der Zucker,sugar
zuerst,first
der Zufall,coincidence
zugehen,to shut
das Zuhause,home
zuhören,to listen
der Zuhörer,listener
die Zukunft (Sg.),future
zukünftig,in future
zulassen,allow
die Zulassung,"admission, approval"
zuletzt,"finally, at last"
zumachen,to close
zumindest,at least
zunehmen,to increase
zurechtkommen,"cope, manage"
zurück/zurück-,back
zusagen,"to promise, accept"
zusammen/zusammen-,together
die Zusammenarbeit (Sg.),"team work, collaboration"
zusammenfassen,to summarize
zusätzlich,additional
zuschauen,to watch
der Zuschauer,spectator
zu sein,to be closed
der Zustand,condition
zuständig,"competent, responsibe"
die Zustimmung,agreement
zuverlässig,reliable
der Zuwanderer,immigrant
zwar,"to be sure, indeed"
der Zweck,"purpose, aim"
zweifeln,to doubt
die Zwiebel,onion
zwingen,to force
zwischen,"in between, between"
das Abendessen,dinner
das Apartment,apartment
das Arbeitszimmer,study
das Auge,eye
das Auto,car
das Badminton,badminton
das Ballet,ballet
das Bargeld,cash
das Basketballspiel,basketball game
das Bein,leg
das Bett,bed
das Bier,beer
das Bild,picture
das Bilderbuch,picture book
das Brot,bread
das Brötchen,roll
das Buch,book
das Café,cafe
das Date,date
das Datum,date
das Dessert,dessert
das Dorf,village
das Ei,egg
das Eis,ice cream
das Eiscafé,ice cream cafe
das Eisstadion,ice rink
das Erdegeschoss,ground floor
das Essen,meal
das Feld,field
das Fenster,window
das Festival,festival
das Feuerzeug,lighter
das Fieber,fever
das Fitnesscenter,fitness center
das Fitnessstudio ,gym
das Fitnesstraining,fitness training
das Fliesch,meat
das Flugzeug,airplane
das Fortschrift,progress
das Frühstück,breakfast
das Futter,food
das Gastgeschenk,gift
das Gedicht,poem
das Gehalt,salary
das Gehege,enclosure
das Gehirn,brain
das Gepäck,luggage
das Geschäft,business
das Geschenk,gift
das Geschirr,dishes
das Gespräch,conversation
das Getränk,drink
das Gewitter,thunderstorm
das Glas,glass
das Gleis,track
das Golf,golf
das Grundstuck,property
das Handtuch,hand towel
das Handy,cell phone
das Hanninchen,chicken
das Hauptgerichte,main course
das Haus,house
das Hemd,shirt
das Herz,heart
das Heu,hay
das Hobby,hobby
das Hoch,high
das Holz,wood
das Hörbuch,audio book
das Hundebaby,puppy
das Jahr,year
das Joggen,jogging
das Jubiläum,anniversary
das Judo,judo
das Kabarett,cabaret
das Kaufhaus,department store
das Kinderbuch,children's book
das Kino,cinema
das Kleid,dress
das Klettern,climbing
das Knie,knee
das Konsulat,consulate
das Konzert,concert
das Krankenhaus,hospital
das Krimidinner,murder mystery dinner
das Ladegerät,charger
das Lager,camp
das Laufwerk,drive
das Licht,light
das Lied,song
das Märchen,fairy tale
das Meer,sea
das Meerschweinchen,guinea pig
das Meeting,meeting
das Messer,knife
das Metall,metal
das Mittagessen,lunch
das Mobiltelefon,cell phone
das Motorrad,motorbike
das Museum,museum
das Musical,musical
das Netz,internet
das Neujahr,New Year
das Ohr,ear
das Ostern,Easter
das Papier,paper
das Passwort,password
das Pferd,horse
das Pflaster,plaster
das Picknick,picnic
das Plastik,plastic
das Praktikum,internship
das Problem,problem
das Puppentheater,puppet theatre
das Rathaus,town hall
das Regal,shelf
das Reihenhaus,terraced house
das Restaurant,restaurant
das Rudern,rowing
das Sachbuch,non-fiction book
das Sandwich,sandwich
das Schaf,sheep
das Schiff,ship
das Schloss,castle
das Schwimmbad,swimming pool
das Selfie,selfie
das Semester,semester
das Silverster,New Year's Eve
das Smartphone,smartphone
das Sofa,sofa
das Sommerfest,summer party
das Sonderzeichen,special character
das Spiel,game
das Stadion,stadium
das Studium,studies
das T-Shirt,T-shirt
das Tablet,tablet
das Tagebuch,diary
das Tageslicht,daylight
das Tal,valley
das Tassenmesser,cup knife
das Tauchen,diving
das Taxi,taxi
das Telefon,telephone
das Tennis,tennis
das Theater,theater
das Theaterstück,play
das Tief,deep
das Tischtennis,table tennis
das Übergewicht,overweight
das Ufer,shore
das Uhrwerk,clockwork
das Visum,visa
das Walken,walking
das Wasser,water
das Weihnachten,Christmas
das Wetter,weather
das Wochenende,weekend
das Wohnzimmer,living room
das Yoga,yoga
das Zentrum,center
das Zeugnis,certificate
das Zimmer,room
der Abflug,departure
der Abschied,farewell
der Akku,battery
der Allergiker,allergic person
der Anrede,greeting
der Anschluss,connection
der Ansender,sender
der Anzug,suit
der Aperitif,aperitif
der Apfel,apple
der Arm,arm
der Aufzug,elevator
der Ausbildender,instructor
der Ausflug,trip
der Ausstand,walking
der Ausweis,ID
der Bahnhof,train station
der Bahnstieg,platform
der Balkon,balcony
der Bart,beard
der Basketball,basketball
der Bauch,belly
der Baum,tree
der Belistift,pencil
der Benutzername,user name
der Berg,mountain
der Beruf,profession
der Betreff,subject
der Betriebsausflug,company outing
der Bildschirm,screen
der Blumenladen,flower shop
der Brief,letter
der Briefkasten,mailbox
der Briefumschlag,envelope
der Brunnen,fountain
der Buchstabe,letter
der Bürgersteig,sidewalk
der Bus,bus
der Chef,boss
der Comic,comic
der Computer,computer
der Dank,thanks
der Darsteller,actor
der Drucker,printer
der Dschungel,jungle
der Einstand,debut
der Empfänger,recipient
der Feiertag,holiday
der Fernseher,television
der Feuerwehrmann,firefighter
der FIlm,film
der Finger,finger
der Fisch,fish
der Flughafen,airport
der Flur,hallway
der Fluss,river
der Fotoworkshop,photo workshop
der Frosch,frog
der Frost,frost
der Frühstuckraum,breakfast room
der Führerschein,driving license
der Fuß,foot
der Fußball,football
der Futternapf,food bowl
der Garten,garden
der Geburtstag,birthday
der Gehweg,sidewalk
der Hafen,harbor
der Hagel,hail
der Hals,neck
der Hamster,hamster
der Handball,handball
der Hausmeister,caretaker
der Herd,stove
der Hochzeitstag,wedding anniversary
der Honig,honey
der Hügel,hill
der Hund,dog
der Husten,cough
der Hustensaft,cough syrup
der Hut,hat
der Innenhof,courtyard
der Job,job
der Kaffee,coffee
der Käfig,cage
der Kakao,cocoa
der Kalender,calendar
der Karnevel,carnival
der Karton,box
der Käse,cheese
der Keller,cellar
der Kintergarten,kindergarden
der Kiosk,kiosk
der Klub,club
der Koffer,suitcase
der Kollege,colleague
der Konferenzraum,conference room
der Kopf,head
der Krimi,crime story
der Kuchen,cake
der Kugelschreiber,ballpoint pen
der Kühlschrank,refrigerator
der Kunde,customer
der Kurs,course
der Kursleiter,course leader
der Kuss,kiss
der Laden,shop
der Laptop,laptop
der Lebenslauf,CV
der Lift,lift
der Lkw,truck
der Löffel,spoon
der Makler,broker
der Mantel,coat
der Markt,market
der Mitwohner,roommate
der Mond,moon
der Monitor,monitor
der Motor,engine
der Mull,trash
der Mund,mouth
der Nachtisch,dessert
der Napf,bowl
der Nebel,fog
der Niederschlag,precipitation
der Ofen,oven
der Ort,place
der Park,park
der Parkplatz,parking lot
der Pass,passport
der PC,PC
der Personal Computer,personal computer
der Personalchef,HR manager
der Pkw,car
der Platz,square
der Poetryslam,poetry slam
der Pullover,sweater
der Radweg,cycle path
der Rat,advice
der Ratgeber,advisor
der Ratschlag,advice
der Regen,rain
der Regenschrim,umbrella
der Regisseur,director
der Roboter,robot
der Rock,skirt
der Roman,novel
der Rücken,back
der Rucksack,backpack
der Rundfunk,radio
der Saft,juice
der Salat,salad
der Sauerstoft,oxygen
der Schalten,switch
der Schauer,shiver
der Schinken,ham
der Schlüssel,key
der Schmerz,pain
der Schnee,snow
der Schrank,cupboard
der Schriftsteller,writer
der Schulabschluss,graduation
der See,lake
der Sessel,armchair
der Snack,snack
der Sonnenhut,sun hat
der Spielplatz,playground
der Sport,sport
der Stadtspaziergang,city walk
der Stau,traffic jam
der Steckbrief,wanted poster
der Stift,pen
der Stock,stick
der Strand,beach
der Stress,stress
der Studierendenausweis,student ID
der Stuhl,chair
der Tablet-PC,tablet PC
der Tag,day
der Tagesablauf,daily routine
der Talent,talent
der Tee,tea
der Teppich,carpet
der Termin,appointment
der Tierarzt,vet
der Tierpark,zoo
der Tisch,table
der Traume,dreams
der Unfall,accident
der Vertrag,contract
der Vogel,bird
der Volleyball,volleyball
der Vorort,suburb
der Vortrag,lecture
der Wagen,car
der Wald,forest
der Wasserhahn,tap
der Wassernapf,water bowl
der Wein,wine
der Wind,wind
der Wochentag,day of week
der Wohnblock,apartment block
der Wohnort,place of residence
der Zebrastreifen,zebra crossing
der Zirkus,circus
der Zoll,customs
der Zoo,zoo
der Zug,train
der Zuschauer,spectator
die Abfahrt,departure
die Abteilung,department
die Abwehrkräfte,defense forces
die Adresse,address
die Altstadt,old town
die Ampel,traffic light
die Ankunft,arrival
die Anleitung,instructions
die Anmeldung,registration
die Apotheke,pharmacy
die Arbeit,work
die Auqafitness,aqua fitness
die Ausbildung,training
die Ausfahrt,exit
die Austellung,exhibition
die Autobahn,highway
die Bank,bank
die Bar,bar
die Baustelle,construction site
die Begabung,talent
die Begrußung,greeting
die Berge,mountains
die Besprechung,discussion
die Betriebsversammlung,staff meeting
die Bewegung,exercise
die Bewerbung,application
die Biene,bee
die Bluse,blouse
die Boutique,boutique
die Bratwurst,sausage
die Brille,glasses
die Brücke,bridge
die Brust,breast
die Bürste,brush
die Busfahrt,bus ride
die Cola,Cola
die Dachterrasse,roof terrace
die Dichtung,seal
die Disco,disco
die Dusche,shower
die DVD,DVD
die E-Mail,email
die EC-Karte,debit card
die Ecke,corner
die Einladung,invitation
die Empfangshalle,reception hall
die Entspannung,relaxation
die Erdbeertorte,strawberry cake
die Fähigkeit,ability
die Fahrbahn,roadway
die Fähre,ferry
die Fahrkarte,ticket
die Farbe,color
die Fernbedienung,remote control
die Festplatte,hard drive
die Fitness,fitness
die Flasche,bottle
die Freiheit,freedom
die Fußgangerzone,pedestrian zone
die Gabel,fork
die Geschäftsreise,business trip
die Gesundheitskarte,health card
die Gewohnheit,habit
die Gmnastik,gymnastics
die Grenze,border
die Haare,hair
die Halle,hall
die Hand,hand
die Heimat,home
die Heizung,heating
die Herkunft,origin
die Hochzeit,wedding
die Hose,trousers
die Idee,idea
die Impfung,vaccination
die Innenstadt,city center
die Insel,island
die Jacke,jacket
die Jeans,jeans
die Kamera,camera
die Kantine,canteen
die Kartoffel,potato
die Katze,cat
die Kette,chain
die Kfz-Werstatt,car repair shop
die Kindheit,childhood
die Kirche,church
die Klingel,bell
die Kneipe,pub
die Kreuzung,intersection
die Kuche,kitchen
die Kuh,cow
die Kundenkarte,customer card
die Lampe,lamp
die Landschaft,landscape
die Landstraße,country road
die Lesung,reading
die Leute,people
die Liebe,love
die Limonade,lemonade
die Locken,curls
die Luft,air
die Mahlzeit,meal
die Mahlzeiten,meals
die Marmelade,jam
die Maschine,machine
die Mauer,wall
die Maus,mouse
die Mediathek,media library
die Medikamente,medicines
die Menge,crowd
die Messe,mass
die Milch,milk
die Möhre,carrot
die Murmeln,marbles
die Musik,music
die Mütze,hat
die Nachbarn,neighbors
die Nachrichten,news
die Nahrungsmittel,food
die Nase,nose
die Note,note
die Oper,opera
die Orange,orange
die Pannenhilfe,breakdown service
die Partner,partners
die Pause,break
die Poesie,poetry
die Polizei,police
die Post,post office
die Postkarte,postcard
die Powerbank,power bank
die Präsentation,presentation
die Praxis,practice
die Producktion,production
die Prufung,exam
die Rechnung,bill
die Rezeption,reception
die Richtung,direction
die Riefenpanne,flat tire
die Ringe,rings
die S-Bahn,S-Bahn
die Saftschorle,juice spritzer
die Sahne,cream
die Salbe,ointment
die Sätze,sentences
die Sauna,sauna
die Schokolade,chocolate
die Schuhe,shoes
die Schule,school
die Seife,soap
die Selbständigkeit,independence
die Sendung,shipment
die Serviette,napkin
die Socke,sock
die Sonne,sun
die Sonnenbrille,sunglasses
die Sonnencreme,sunscreen
die Speise,food
die Spielanleitung,game instructions
die Stäbchen,chopsticks
die Stadt,city
die Stadtmitte,city center
die Steckdose,socket
die Stelle,position
die Steuer,tax
die Stiefel,boots
die Straße,street
die Straßenbahn,tram
die Strophe,verse
die Suppe,soup
die Tabletten,tablets
die Tageszeit,time of day
die Tankstelle,gas station
die Tasche,bag
die Taschenlampe,flashlight
die Tastatur,keyboard
die Tee,tea
die Teilzeit,part-time
die Telefonkarte,phone card
die Texte,texts
die Toilette,toilet
die Tomate,tomato
die Treppe,stairs
die Trinkflasche,drinking bottle
die Tür,door
die U-Bahn,subway
die Überstunde,overtime
die Übung,exercise
die Umleitung,diversion
die Universitat,university
die Unterscrift,signature
die Vernissage,opening day
die Verspätung,delay
die Visitenkarte,business card
die Vollzeit,full-time
die Vorspeise,appetizer
die Wand,wall
die Wasche,Wash
die Waschmaschine,washing machine
die Weihnachtsfeier,Christmas party
die Werkstatt,workshop
die Wiese,meadow
die Wirtschaft,economy
die Wissenschaft,science
die Woche,week
die Wohnfläche,living space
die Wohnung,apartment
die Wolke,cloud
die Wolldecke,blanket
die Wüste,desert
die Zahl,number
die Zahnbürste,toothbrush
die Zahnpasta,toothpaste
die Zaubershow,magic show
die Zeit,time
die Zeitschrift,magazine
die Zeitung,newspaper
die Uhr,clock
vermutlich,allegedly
beruflich,professional
schön,beautiful
hässlich,ugly
modern,modern
praktisch,practical
groß,big
klein,small
teuer,expensive
gunstig,cheap
weiß,white
gelb,yellow
orange,orange
grün,green
rot,red
blau,blue
braun,brown
schwarz,black
lila,purple
pink,pink
grau,grey
toll,great
sehr,very
gut,good
super,super
überall,everywhere
zurzeit,at the moment
nur,only
immer,always
oft,often
manchmal,sometimes
nie,never
lecker,tasty
suß,sweet
salzig,salty
hoffentlich,hopefully
sicher,safe
ungefähr,approximately
gemütlich,comfortable
laut,loud
weg,away
frei,free
billig,cheap
ziemlich,quite
traurig,sad
langweilig,boring
eigentlich,actually
lustig,funny
okay,okay
interessant,interesting
schlecht,bad
sofort,immediately
wichtig,important
müde,tired
üblich,usual
schlimm,bad
komisch,strange
böse,evil
kurz,short
blonde,blonde
dunkle,dark
lange,long
alt,old
jung,young
kräftig,strong
alles,everything
nichts,nothing
schmutzig,dirty
zufrieden,satisfied
unzufrieden,unsatisfied
ubglaublich,unbelievable
pünklich,punctual
sonnig,sunny
wolkig,cloudy
windig,windy
bewölkt,overcast
neblig,foggy
drinnen,inside
draußen,outside
allein,alone
zussamen,together
fast,almost
flexible,flexible
auch,also
so,as
als,if
ja,yes
wie,how
dann,then
da,there
noch,still
also,so
nur,just
schon,already
mehr,more
jetzt,now
ganz,all
hier,here
doch,yet
wieder,again
lang,long
selbst,even
oben,above
nun,now
nein,no
eben,just
erst,first
naturalich,naturally
vellicht,perhaps
dort,there
dabei,there
gleich,similar
dazu,to that
gar,at all
bereits,already
etwa,about
gerade,just
zwar,though
wirklich,really
jedoch,but
allerdings,however
wohl,probably
überhaupt,generally
gern,like
davon,about it
darauf,on it
besonders,especially
kaum,hardly
sogar,even
damals,then
darüber,about it
sonst,else
daran,about it
weiter,further
anders,different
schleißlich,finally
eher,rather
je,each
darin,therein
rund,around
daher,therefore
früher,earlier
zunächst,initially
irgendwie,somehow
dadurch,thereby
bisher,so far
nämlich,namely
wahrschienlich,probably
her,here
dagegen,on the other hand
ebenso,likewise
danach,afterwards
außerdem,furthermore
inzwischen,in the meantime
plötlich,suddenly
bald,soon
genug,enough
endlich,finally
personlich,personal
indessen,meanwhile
trotzdem,nevertheless
dennoch,nevertheless
deshalb,therefore
deswegen,therefore
folglich,consequently
viel,much
wenig,little
letzt,last
spät,late
richtig,right
schnell,quickly
schwer,difficult
einfach,easy
einige,some
ähnlich,similar
unähnlich,dissimilar
verschieden,different
angenehm,pleasant
unangenehm,unpleasant
anwesend,present
abwesend,absent
bekannt,known
unbekannt,unknown
besser,better
schlecter,worse
bestimmt,certain
unbestimmt,undefined
bunt,colorful
einfarbig,monochrome
dankbar,grateful
undankbar,ungrateful
deutlich,clear
undeutlich,indistinct
dick,thick
dünn,thin
direkt,direct
indirekt,indirect
erlich,honest
unerlich,unfair
eigen,own
fremd,foreign
einzeln,individual
elegent,elegent
unelegant,inelegant
empfindlich,sensitive
unempfindlich,insensitive
eng,narrow
weit,wide
erfahren,experienced
unerfahren,inexperienced
fest,firm
locker,loose
weich,soft
falch,flat
steil,steep
tief,deep
fleißig,hardworking
faul,lazy
unfrei,unfree
freundlich,friendly
unfreundlich,unfriendly
froh,cheerful
gleduldig,patient
ungeduldig,impatient
geizig,stingy
großzuzig,generous
gemeinsam,together
gemutlich,comfortable
ungemutlich,uncomfortable
genau,precise
ungenau,inaccurate
gerade,even
ungerade,odd
geschickt,skillful
ungeschikt,clumsy
gesund,healthy
ungesund,unhealthy
krank,sick
gewiss,certain
ungewiss,uncertain
glatt,smooth
rau,rough
glucklich,happy
unglucklich,unhappy
halb,half
hart,hard
weich,soft
häufig,frequent
selten,rare
heiß,hot
kalt,cold
hell,light
höflich,polite
unhöflich,rude
horizontal,horizontal
vertical,vertical
hungrig,hungry
interessant,interesting
satt,full
uninteressant,uninteresting
kaputt,broken
ganz,complete
klar,clear
unklar,unclear
klug,smart
dumm,stupid
unklug,unwise
laut,loud
leise,quiet
lustig,funny
unlustig,unfunny
ernst,serious
möglich,possible
unmöglich,impossible
müde,tired
wach,awake
nah,close
fern,far
natüralich,natural
unnatüralich,unnatural
normal,normal
unnormal,abnormal
offen,open
geschlossen,closed
öffentlich,public
privat,private
ordentlich,tidy
unordentlich,untidy
negativ,negative
positiv,positive
persönlich,personal
unpersönlich,impersonal
praktisch,practical
unpraktisch,unpractical
punktlich,punctual
unpunktlich,unpunctual
recht,right
links,left
richtig,right
falsch,wrong
rund,round
eckig,square
sauber,clean
dreckig,dirty
schmutzig,dirty
schnell,fast
langsam,slow
sicher,safe
unsicher,unsafe
sozial,social
unsozial,unsocial
spitz,sharp
stumpf,blunt
sportlich,athletic
unsportlich,unathletic
stark,strong
schwach,weak
süß,sweet
sauer,sour
sympathisch,sympathetic
unsympathisch,unsympathetic
treu,loyal
untreu,unfaithful
unterschiedlich,different
identisch,identical
voll,full
leer,empty
vorsichtig,careful
unvorsichtig,careless
wahrschienlich,probably
unwahrschienlich,unprobably
wertvoll,valuable
wertlos,worthless
wesentlich,essential
unwesentlich,inessential
wichtig,important
unwichtig,unimportant
wild,wild
zahm,tame
zufrieden,satisfied
unzufrieden,dissatisfied
hochen,high
niedrigen,low
schlafend,asleep
witzig,funny
heimisch,native
